subject,Commodity,Class,DataType
Alfalfa seed,ALFALFA SEED,ALL CLASSES,CROPS
All Farms,ALL FARMS,ALL CLASSES,NA
Almonds,ALMONDS,ALL CLASSES,FRUIT & TREE NUTS
Amaranth,AMARANTH,ALL CLASSES,CROPS
Apples,APPLES,ALL CLASSES,FRUIT & TREE NUTS
Apricots,APRICOTS,ALL CLASSES,FRUIT & TREE NUTS
Artichokes,ARTICHOKES,ALL CLASSES,VEGETABLES
Asparagus.,ASPARAGUS,ALL CLASSES,VEGETABLES
Avocados,AVOCADOS,ALL CLASSES,FRUIT & TREE NUTS
Bahia grass seed,BAHIA GRASS SEED,ALL CLASSES,CROPS
Bananas,BANANAS,ALL CLASSES,FRUIT & TREE NUTS
Barley,BARLEY,ALL CLASSES,CROPS
"Barley, feed",BARLEY,FEED,CROPS
"Barley, feed or malt",BARLEY,FEED OR MALT,CROPS
"Barley, malt",BARLEY,MALT,CROPS
"Barley, seed",BARLEY,SEED,CROPS
"Beans, dry edible",BEANS,DRY EDIBLE,CROPS
Bedding/garden plants,"BEDDING PLANTS, ANNUAL",ALL CLASSES,CROPS
Beets,BEETS,ALL CLASSES,VEGETABLES
Bentgrass seed,BENTGRASS SEED,ALL CLASSES,CROPS
Bermuda grass seed,BERMUDA GRASS SEED,ALL CLASSES,CROPS
"Berries, all other","BERRIES, OTHER",ALL CLASSES,FRUIT & TREE NUTS
Birdsfoot trefoil seed,BIRDSFOOT TREFOIL SEED,ALL CLASSES,CROPS
Blackberries,BLACKBERRIES,ALL CLASSES,FRUIT & TREE NUTS
"Blueberries, tame",BLUEBERRIES,TAME,FRUIT & TREE NUTS
"Blueberries, wild",BLUEBERRIES,WILD,FRUIT & TREE NUTS
Bluegrass seed,BLUEGRASS SEED,ALL CLASSES,CROPS
Boysenberries,BOYSENBERRIES,ALL CLASSES,FRUIT & TREE NUTS
Broccoli,BROCCOLI,ALL CLASSES,VEGETABLES
Brome grass seed,BROME GRASS SEED,ALL CLASSES,CROPS
Brussels sprouts,BRUSSELS SPROUTS,ALL CLASSES,VEGETABLES
Buckwheat,BUCKWHEAT,ALL CLASSES,CROPS
"Bulbs, corms, rhizomes, tubers (dry)",BULBS & CORMS & RHIZOMES & TUBERS,DRY,CROPS
Canola,CANOLA,ALL CLASSES,CROPS
Cantaloupe,CANTALOUPE,ALL CLASSES,FRUIT & TREE NUTS
Carrots,CARROTS,ALL CLASSES,VEGETABLES
Castor beans,CASTOR BEANS,ALL CLASSES,CROPS
Cauliflower,CAULIFLOWER,ALL CLASSES,VEGETABLES
Celery,CELERY,ALL CLASSES,VEGETABLES
"Cherries, sweet",CHERRIES,SWEET,FRUIT & TREE NUTS
"Cherries, tart",CHERRIES,TART,FRUIT & TREE NUTS
Chestnuts,CHESTNUTS,ALL CLASSES,FRUIT & TREE NUTS
Chicory,CHICORY,ALL CLASSES,VEGETABLES
Chinese cabbage,CABBAGE,CHINESE,VEGETABLES
"Chinese peas, sugar, snow",PEAS,CHINESE (SUGAR & SNOW),CROPS
"Christmas trees, cut",CUT CHRISTMAS TREES,ALL CLASSES,CROPS
Chufus,CHUFUS,ALL CLASSES,CROPS
Cilantro,CILANTRO,ALL CLASSES,VEGETABLES
"Citrus, other",CITRUS TOTALS,ALL CLASSES,FRUIT & TREE NUTS
Clover,CLOVER,ALL CLASSES,VEGETABLES
Clover seed,CLOVER,SEED,VEGETABLES
"Clover seed, red",CLOVER,RED SEED,VEGETABLES
"Clover seed, white",CLOVER,WHITE SEED,VEGETABLES
"Clover, seed crimson",CLOVER,CRIMSON SEED,VEGETABLES
"Clover, seed ladino",CLOVER,LADINO SEED,VEGETABLES
Coffee,COFFEE,ALL CLASSES,FRUIT & TREE NUTS
Collards,GREENS,COLLARD,VEGETABLES
Corn,CORN,ALL CLASSES,CROPS
"Corn, corn nuts",CORN,CORN NUTS,CROPS
"Corn, dry fodder, hogged or grazed",CORN,"DRY FODDER,HOGGED OR GRAZED",CROPS
"Corn, grain",CORN,GRAIN,CROPS
"Corn, Indian",CORN,INDIAN,CROPS
"Corn, seed",CORN,SEED,CROPS
"Corn, silage",CORN,SILAGE,CROPS
"Corn, white",CORN,WHITE,CROPS
Cotton,COTTON,ALL CLASSES,CROPS
"Cotton, Pima",COTTON,PIMA,CROPS
"Cotton, upland",COTTON,UPLAND,CROPS
Cottonseed,COTTONSEED,ALL CLASSES,CROPS
Crambe,CRAMBE,ALL CLASSES,CROPS
Cranberries,CRANBERRIES,ALL CLASSES,FRUIT & TREE NUTS
Currants,CURRANTS,ALL CLASSES,FRUIT & TREE NUTS
Daikon,DAIKON,ALL CLASSES,VEGETABLES
Dairy,DAIRY,ALL CLASSES,DAIRY
Dates,DATES,ALL CLASSES,FRUIT & TREE NUTS
Dill,DILL,ALL CLASSES,CROPS
Durum wheat,WHEAT,"SPRING, DURUM",CROPS
Eggplant,EGGPLANT,ALL CLASSES,VEGETABLES
Emmer and spelt,EMMER & SPELT,ALL CLASSES,CROPS
Endive,ESCAROLE & ENDIVE,ALL CLASSES,VEGETABLES
Escarole,ESCAROLE & ENDIVE,ALL CLASSES,VEGETABLES
Farm Businesses,FARM BUSINESSES,ALL CLASSES,
Farm Operator Households,FARM OPERATOR HOUSEHOLDS,ALL CLASSES,
Fava beans,FAVA BEANS,ALL CLASSES,CROPS
Figs,FIGS,ALL CLASSES,FRUIT & TREE NUTS
Flaxseed,FLAXSEED,ALL CLASSES,CROPS
Flower seeds,FLOWER SEEDS,ALL CLASSES,CROPS
Flowers (cut) and cut florist greens,CUT FLOWERS & CUT CULTIVATED GREENS,ALL CLASSES,CROPS
Foliage plants,FOLIAGE PLANTS,INDOOR USE,CROPS
Forage and greenchop,FORAGE AND GREENCHOP,ALL CLASSES,VEGETABLES
Foxtail millet seed,FOXTAIL MILLET SEED,ALL CLASSES,CROPS
Garlic,GARLIC,ALL CLASSES,VEGETABLES
Gingerroot,GINGER ROOT,ALL CLASSES,VEGETABLES
Ginseng,GINSENG,ALL CLASSES,VEGETABLES
Grapefruit,GRAPEFRUIT,ALL CLASSES,FRUIT & TREE NUTS
"Grapes, dry",GRAPES,RAISIN TYPE,FRUIT & TREE NUTS
"Grapes, fresh",GRAPES,JUICE TYPE,FRUIT & TREE NUTS
"Grass seed, other",GRASSES,OTHER,CROPS
Grass silage,GRASSES,SILAGE,CROPS
"Grasses, other than clover and sudan",GRASSES,OTHER THAN CLOVER AND SUDAN,CROPS
"Green peas, English","GREEN PEAS, ENGLISH",ALL CLASSES,VEGETABLES
Greenhouse produced vegetables,GREENHOUSE PRODUCED VEGETABLES,ALL CLASSES,VEGETABLES
Greens,GREENS,ALL CLASSES,VEGETABLES
Guar,GUAR,ALL CLASSES,CROPS
Guava,GUAVA,ALL CLASSES,FRUIT & TREE NUTS
"Hay, Alfalfa and alfalfa mixtures",HAY,ALFALFA,CROPS
"Hay, other",HAY,OTHER,CROPS
"Hay, small grain",HAY,SMALL GRAIN,CROPS
"Hay, wild",HAY,WILD,CROPS
Hazelnuts,HAZELNUTS,ALL CLASSES,FRUIT & TREE NUTS
"Herbs, dried",HERBS,DRY,CROPS
"Herbs, fresh",HERBS,FRESH CUT,CROPS
Hogs,HOGS,ALL CLASSES,LIVESTOCK
Honey tangerines,HONEY TANGERINES,ALL CLASSES,FRUIT & TREE NUTS
Hops,HOPS,ALL CLASSES,CROPS
Horseradish,HORSERADISH,ALL CLASSES,VEGETABLES
Horticultural specialties,HORTICULTURE,SPECIALITIES,HORTICULTURE
