"survey_abb";"subject_num";"subject";"inValid"
"CROP";"1";"Corn";"False"
"CROP";"2";"Soybeans";"False"
"CROP";"3";"Wheat";"True"
"CROP";"4";"Cotton";"False"
"CROP";"5";"Hogs";"True"
"CROP";"6";"Dairy";"True"
"CROP";"7";"Rice";"False"
"CROP";"8";"Sugarbeets";"True"
"CROP";"9";"Barley";"False"
"CROP";"10";"Spring wheat";"False"
"CROP";"11";"Winter wheat";"False"
"CROP";"12";"Durum wheat";"False"
"CROP";"13";"Sorghum";"False"
"CROP";"14";"Oats";"False"
"CROP";"15";"Peanuts";"False"
"CROP";"16";"Potatoes";"True"
"CROP";"17";"Sunflowers";"True"
"CROP";"18";"Tobacco, flue-cured";"True"
"CROP";"19";"Cotton, upland";"True"
"CROP";"20";"Alfalfa seed";"True"
"CROP";"21";"Almonds";"True"
"CROP";"22";"Amaranth";"True"
"CROP";"23";"Apples";"True"
"CROP";"24";"Apricots";"True"
"CROP";"25";"Artichokes";"True"
"CROP";"26";"Asparagus.";"True"
"CROP";"27";"Avocados";"True"
"CROP";"28";"Bahia grass seed";"True"
"CROP";"29";"Bananas";"True"
"CROP";"30";"Barley, feed or malt";"True"
"CROP";"31";"Barley, seed";"True"
"CROP";"32";"Beans, dry edible";"True"
"CROP";"33";"Bedding/garden plants";"True"
"CROP";"34";"Beets";"True"
"CROP";"35";"Bentgrass seed";"True"
"CROP";"36";"Bermuda grass seed";"True"
"CROP";"37";"Berries, all other";"True"
"CROP";"38";"Birdsfoot trefoil seed";"True"
"CROP";"39";"Blackberries";"True"
"CROP";"40";"Blueberries, tame";"True"
"CROP";"41";"Blueberries, wild";"True"
"CROP";"42";"Bluegrass seed";"True"
"CROP";"43";"Boysenberries";"True"
"CROP";"44";"Broccoli";"True"
"CROP";"45";"Brome grass seed";"True"
"CROP";"46";"Brussels sprouts";"True"
"CROP";"47";"Buckwheat";"True"
"CROP";"48";"Bulbs, corms, rhizomes, tubers (dry)";"True"
"CROP";"49";"Canola";"True"
"CROP";"50";"Cantaloupe";"True"
