"survey_abb";"report_num";"topic_abb";"topic_seq";"topic_header";"unit_num";"old_seq";"topic_level";"invalid";"topic_group";"topic_desc"
"CROP";"1";"FUNAC";"11";"Number of treatments with fungicide";"15";"11";"";"False";"";"Number of treatments with fungicide"
"CROP";"1";"FUNACT";"10";"Acres treated with fungicide";"26";"10";"";"False";"";"Acres treated with fungicide , expressed as a percent of planted acres"
"CROP";"1";"FUNQT";"12";"Treatment rate with fungicide";"20";"12";"";"False";"";"Treatment rate with fungicide , expressed in pounds active ingredient per treated acre"
"CROP";"1";"HRBAC";"8";"Number of treatments with herbicide";"15";"8";"";"False";"";"Number of treatments with herbicide"
"CROP";"1";"HRBACT";"7";"Acres treated with herbicide";"26";"7";"";"False";"";"Acres treated with herbicide , expressed as a percent of planted acres"
"CROP";"1";"HRBQT";"9";"Treatment rate with herbicide";"20";"9";"";"False";"";"Treatment rate with herbicide , expressed in pounds active ingredient per treated acre"
"CROP";"1";"INSAC";"5";"Number of treatments with insecticide";"15";"5";"";"False";"";"Number of treatments with insecticide"
"CROP";"1";"INSACT";"4";"Acres treated with insecticide";"26";"4";"";"False";"";"Acres treated with insecticide , expressed as a percent of planted acres"
"CROP";"1";"INSQT";"6";"Treatment rate with insecticide";"20";"6";"";"False";"";"Treatment rate with insecticide , expressed in pounds active ingredient per treated acre"
"CROP";"1";"MSCAC";"13";"Number of treatments with other pesticide";"15";"";"";"False";"";"Number of treatments with other pesticide"
"CROP";"1";"MSCACT";"14";"Acres treated with other pesticide";"26";"";"";"False";"";"Acres treated with other pesticides, expressed as a percent of planted acres"
"CROP";"1";"MSCQT";"15";"Treatment rate with other pesticide";"20";"";"";"False";"";"Treatment rate with other pesticide, expressed in Pounds per acre"
"CROP";"1";"PLACRES";"0";"Planted acres";"18";"0";"";"False";"";"Planted acres , expressed in 1,000 Acres"
"CROP";"1";"PSTAC";"2";"Number of treatments with any pesticide";"15";"2";"";"False";"";"Number of treatments with any pesticide"
"CROP";"1";"PSTACT";"1";"Acres treated with any pesticide";"26";"1";"";"False";"";"Acres treated with any pesticide , expressed as a percent of planted acres"
"CROP";"1";"PSTQT";"3";"Treatment rate with any pesticide";"20";"3";"";"False";"";"Treatment rate with any pesticide , expressed in pounds active ingredient per treated acre"
"CROP";"2";"CWCACR";"3";"Cultivated for weed control";"26";"3";"";"False";"";"Cultivated for weed control , expressed as a percent of planted acres"
